episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,,0.394007,420.93,1.3892,0.3145,43,30.56
1,730,0.99,,0.276613,297.99,0.9835,0.3669,42,30.53
2,1095,0.9851,0.86568,0.295184,257.03,0.8483,0.3563,28,33.13
3,1460,0.9801,0.142353,0.323326,345.53,1.1404,0.3241,24,40.15
4,1825,0.9752,0.127245,0.296458,284.29,0.9383,0.3702,55,38.87
5,2190,0.9704,0.107903,0.286902,282.36,0.9319,0.3356,41,40.79
6,2555,0.9655,0.106512,0.328252,367.29,1.2122,0.3349,7,40.35
7,2920,0.9607,0.106899,0.372685,332.28,1.0966,0.3232,36,38.95
8,3285,0.9559,0.108167,0.285737,235.35,0.7767,0.3507,87,39.28
9,3650,0.9511,0.103963,0.253915,225.83,0.7453,0.3474,57,39.49
10,4015,0.9464,0.100748,0.317653,349.94,1.1549,0.3245,11,39.61
11,4380,0.9416,0.098131,0.239897,248.08,0.8187,0.3468,40,39.76
12,4745,0.9369,0.096662,0.26113,210.31,0.6941,0.3586,49,39.23
13,5110,0.9322,0.09319,0.200975,191.98,0.6336,0.3541,116,39.72
14,5475,0.9276,0.088778,0.237468,217.1,0.7165,0.3519,60,39.93
15,5840,0.9229,0.088356,0.311845,387.89,1.2802,0.3155,37,39.56
16,6205,0.9183,0.089983,0.305008,262.74,0.8671,0.3439,38,39.14
17,6570,0.9137,0.091551,0.386188,437.99,1.4455,0.2853,29,39.28
18,6935,0.9092,0.097027,0.324655,397.96,1.3134,0.3732,36,40.34
19,7300,0.9046,0.098163,0.28604,257.49,0.8498,0.3362,35,40.06
20,7665,0.9001,0.096805,0.322499,259.76,0.8573,0.3531,22,40.27
21,8030,0.8956,0.097213,0.277118,262.89,0.8676,0.3484,45,40.11
22,8395,0.8911,0.097918,0.346177,346.21,1.1426,0.3346,6,40.11
23,8760,0.8867,0.100773,0.325697,333.84,1.1018,0.3404,59,41.09
24,9125,0.8822,0.098821,0.234992,230.2,0.7597,0.346,88,39.14
25,9490,0.8778,0.097418,0.269354,242.48,0.8003,0.352,65,39.03
26,9855,0.8734,0.09957,0.351394,338.93,1.1186,0.3407,24,39.7
27,10220,0.8691,0.101435,0.341027,342.52,1.1304,0.351,33,40.45
28,10585,0.8647,0.101887,0.281424,288.35,0.9516,0.341,67,40.82
29,10950,0.8604,0.102302,0.299813,345.0,1.1386,0.3524,58,41.2
30,11315,0.8561,0.103935,0.305566,296.56,0.9787,0.3512,80,39.38
31,11680,0.8518,0.104649,0.266357,258.14,0.8519,0.3658,108,39.91
32,12045,0.8475,0.104713,0.248266,235.26,0.7764,0.3599,143,40.61
33,12410,0.8433,0.105111,0.294037,255.64,0.8437,0.375,60,39.37
34,12775,0.8391,0.104213,0.231354,209.33,0.6908,0.3508,154,39.72
35,13140,0.8349,0.102888,0.317271,360.18,1.1887,0.324,80,39.37
36,13505,0.8307,0.10135,0.286101,262.1,0.865,0.3648,59,38.82
37,13870,0.8266,0.102337,0.401565,357.85,1.181,0.3496,53,39.04
38,14235,0.8224,0.103631,0.285442,287.36,0.9484,0.3415,94,41.11
39,14600,0.8183,0.104563,0.319657,319.8,1.0554,0.3535,111,39.14
40,14965,0.8142,0.103331,0.254554,281.09,0.9277,0.3594,122,40.96
41,15330,0.8102,0.105003,0.311954,341.91,1.1284,0.3704,95,39.89
42,15695,0.8061,0.103093,0.306656,265.46,0.8761,0.3702,73,40.05
43,16060,0.8021,0.102369,0.253692,257.82,0.8509,0.3336,74,39.94
44,16425,0.7981,0.10435,0.390302,418.07,1.3798,0.3305,30,39.01
45,16790,0.7941,0.104738,0.274449,248.51,0.8202,0.3737,112,40.26
46,17155,0.7901,0.105852,0.272093,260.39,0.8594,0.344,85,39.79
47,17520,0.7862,0.104342,0.302133,294.62,0.9724,0.3281,90,40.57
48,17885,0.7822,0.103456,0.295692,292.47,0.9652,0.3641,84,39.7
49,18250,0.7783,0.104278,0.355978,339.24,1.1196,0.3423,29,38.87
50,18615,0.7744,0.104798,0.323652,337.39,1.1135,0.3684,72,38.98
51,18980,0.7705,0.104939,0.294809,255.16,0.8421,0.3563,91,39.44
52,19345,0.7667,0.103436,0.366423,368.06,1.2147,0.3383,65,39.73
53,19710,0.7629,0.103857,0.251742,259.76,0.8573,0.3253,130,39.5
54,20075,0.759,0.103618,0.250734,242.67,0.8009,0.3575,121,39.07
55,20440,0.7553,0.104117,0.305555,309.99,1.0231,0.3197,70,38.32
56,20805,0.7515,0.103999,0.287763,260.56,0.8599,0.3595,103,39.98
57,21170,0.7477,0.104774,0.26186,236.72,0.7813,0.3663,89,38.54
58,21535,0.744,0.103122,0.377888,322.33,1.0638,0.352,91,39.16
59,21900,0.7403,0.106258,0.321623,301.48,0.995,0.352,73,37.91
60,22265,0.7366,0.106787,0.283398,235.38,0.7768,0.3667,108,39.63
61,22630,0.7329,0.107375,0.323744,262.15,0.8652,0.3734,123,38.96
62,22995,0.7292,0.109206,0.381079,414.84,1.3691,0.3433,40,38.95
63,23360,0.7256,0.10695,0.283236,231.58,0.7643,0.3629,88,40.56
64,23725,0.7219,0.107094,0.259269,251.43,0.8298,0.3646,79,39.91
65,24090,0.7183,0.105636,0.266397,216.29,0.7138,0.3683,157,39.61
66,24455,0.7147,0.10391,0.284589,270.12,0.8915,0.3567,93,41.42
67,24820,0.7112,0.103623,0.356445,313.4,1.0343,0.3374,85,39.9
68,25185,0.7076,0.105424,0.345471,305.91,1.0096,0.3406,81,40.45
69,25550,0.7041,0.105875,0.332618,278.14,0.918,0.3663,74,40.61
70,25915,0.7005,0.105787,0.279538,257.94,0.8513,0.3451,92,40.98
71,26280,0.697,0.106258,0.285169,260.5,0.8597,0.3625,78,40.57
72,26645,0.6936,0.1063,0.285457,265.15,0.8751,0.3348,67,39.04
73,27010,0.6901,0.106257,0.299753,254.87,0.8412,0.3694,80,39.6
74,27375,0.6866,0.106807,0.342708,301.97,0.9966,0.336,39,39.39
75,27740,0.6832,0.10628,0.284618,262.08,0.865,0.3547,115,40.78
76,28105,0.6798,0.104983,0.284598,277.98,0.9174,0.3531,69,40.88
77,28470,0.6764,0.105808,0.333948,293.12,0.9674,0.3544,99,40.14
78,28835,0.673,0.10653,0.337977,336.95,1.112,0.3296,73,40.11
79,29200,0.6696,0.107016,0.29207,292.71,0.966,0.3449,107,40.12
80,29565,0.6663,0.107036,0.286402,319.35,1.054,0.335,63,41.57
81,29930,0.663,0.107625,0.326134,296.31,0.9779,0.3342,78,39.38
82,30295,0.6597,0.106663,0.316502,292.63,0.9658,0.3402,87,40.09
83,30660,0.6564,0.106558,0.310307,278.05,0.9177,0.3472,82,40.33
84,31025,0.6531,0.106145,0.314964,309.14,1.0203,0.356,93,40.97
85,31390,0.6498,0.106226,0.312006,298.57,0.9854,0.3388,91,39.47
86,31755,0.6466,0.106441,0.335628,291.7,0.9627,0.3627,55,40.36
87,32120,0.6433,0.10677,0.3522,339.02,1.1189,0.3574,84,39.67
88,32485,0.6401,0.107488,0.31364,264.85,0.8741,0.371,84,40.44
89,32850,0.6369,0.107846,0.27499,264.48,0.8729,0.3459,85,40.04
90,33215,0.6337,0.109076,0.272618,249.97,0.825,0.3562,67,39.86
91,33580,0.6306,0.109139,0.352333,381.02,1.2575,0.3203,62,39.7
92,33945,0.6274,0.10919,0.24485,218.34,0.7206,0.3432,170,40.75
93,34310,0.6243,0.108185,0.321988,302.85,0.9995,0.3532,95,39.63
94,34675,0.6211,0.108373,0.265936,240.72,0.7945,0.3637,145,41.17
95,35040,0.618,0.108965,0.281478,235.41,0.7769,0.3537,149,40.21
96,35405,0.6149,0.109626,0.29548,330.93,1.0922,0.3281,97,39.81
97,35770,0.6119,0.108518,0.28711,248.97,0.8217,0.3653,123,40.18
98,36135,0.6088,0.10905,0.306166,261.83,0.8641,0.3688,99,40.52
99,36500,0.6058,0.108969,0.339852,322.95,1.0658,0.333,66,40.42
100,36865,0.6027,0.108993,0.325388,301.78,0.996,0.3526,99,39.43
101,37230,0.5997,0.108687,0.331594,321.58,1.0613,0.3392,52,39.39
102,37595,0.5967,0.108524,0.355018,385.69,1.2729,0.3084,71,40.93
103,37960,0.5937,0.109729,0.270216,237.7,0.7845,0.3704,126,41.85
104,38325,0.5908,0.108991,0.289718,253.93,0.838,0.3592,130,39.39
105,38690,0.5878,0.108084,0.254945,278.78,0.9201,0.3781,181,40.44
106,39055,0.5849,0.108331,0.273954,254.84,0.8411,0.3547,118,40.81
107,39420,0.582,0.107836,0.291407,272.31,0.8987,0.3686,101,40.64
